,czone_x,statefip,yr,t2,timepwt24,d_impusch_p9,d_impuschm_p9cen,d_impuschf_p9cen,d_impotch_p9_lag,czone_y,d_avg_lnwkwage,d_avg_lnwkwage_m,d_avg_lnwkwage_f
180,6200.0,1,1990.0,0.0,0.0008534805,1.0958555,0.62485814,0.47099724,2.4523406,6200.0,11.601877,7.519865,20.552874
181,6200.0,1,2000.0,1.0,0.0011603335,2.2885828,1.2580034,1.0305794,3.366356,6200.0,-3.26613,-4.585743,1.1227472
182,6301.0,47,1990.0,0.0,0.00029226425,2.7835565,1.2358966,1.5476599,4.016281,6301.0,19.528627,17.39583,21.487427
183,6301.0,47,2000.0,1.0,0.00042568208,4.82998,2.0438375,2.786142,5.871774,6301.0,-1.790796,-2.2382736,-0.0059264046
184,6302.0,47,1990.0,0.0,0.00033471876,1.434782,0.65407276,0.7807093,3.7538269,6302.0,17.57617,15.991306,19.484234
185,6302.0,47,2000.0,1.0,0.0004950221,3.0990298,1.3673657,1.7316642,4.780298,6302.0,-3.65339,-6.068366,0.24659294
186,6401.0,47,1990.0,0.0,0.0018000961,0.88136494,0.49595544,0.3854095,0.50851995,6401.0,12.532806,8.066988,17.900991
187,6401.0,47,2000.0,1.0,0.002442474,1.173723,0.61683136,0.5568916,1.2168878,6401.0,-2.158165,-2.0353453,0.18092564
188,6402.0,47,1990.0,0.0,0.00033979476,1.8173192,0.9408654,0.8764538,4.1573386,6402.0,16.165161,13.589764,19.760227
189,6402.0,47,2000.0,1.0,0.00052194507,3.8834386,1.5621291,2.3213093,4.885671,6402.0,-5.2280426,-7.426671,-0.6502015
190,6501.0,13,1990.0,0.0,0.00011869555,0.6526615,0.32902107,0.32364044,2.3010132,6501.0,5.5907726,3.033495,10.059309
